course_id,source_platform,name,description,provider_organization,level,duration_minutes,start_date,end_date,enrollment_type,status,course_url,internal_category,source,source_url,embedding_text,embedding_text_is_description_based
NSSTA-012,NSSTA,"Vigilance & Court Case, LIMBS, CPGRAMS, RTI",Category listed by NSSTA for in-service ISS capacity building.,AJ-NIFM/ASCI/ISTM/MCRHRDIT,In Service ISS Officers,,2027-03-08,2027-03-12,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Vigilance & Court Case, LIMBS, CPGRAMS, RTI. Category listed by NSSTA for in-service ISS capacity building.",True
NSSTA-013,NSSTA,"Monitoring & Evaluation: AI, MIS, DGQI for Public Sector Performance",DoPT IST / Other,IIM Vishakhapatnam,In-Service ISS Officers,,2026-06-08,2026-06-12,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Monitoring & Evaluation: AI, MIS, DGQI for Public Sector Performance. DoPT IST / Other",True
NSSTA-014,NSSTA,Data-driven decision-making using data analytics,DoPT IST / Other,IIT Bombay,In-Service ISS Officers,,2026-07-27,2026-07-31,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Data-driven decision-making using data analytics. DoPT IST / Other,True
NSSTA-015,NSSTA,Public Financial Management,DoPT IST / Other,IIM Kozhikode,In-Service ISS Officers,,2026-08-10,2026-08-14,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Public Financial Management. DoPT IST / Other,True
NSSTA-016,NSSTA,Human Dimensions of Climate Change,DoPT IST / Other,ISB Mohali,In-Service ISS Officers,,2026-08-17,2026-08-21,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Human Dimensions of Climate Change. DoPT IST / Other,True
NSSTA-017,NSSTA,Project Management & Analysis,DoPT IST / Other,IIM Jammu,In-Service ISS Officers,,2026-09-07,2026-09-11,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Project Management & Analysis. DoPT IST / Other,True
NSSTA-018,NSSTA,"Environment Policy, ESG, EIA, Climate Change",DoPT IST / Other,iCED Jaipur,In-Service ISS Officers,,2026-10-12,2026-10-16,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Environment Policy, ESG, EIA, Climate Change. DoPT IST / Other",True
NSSTA-019,NSSTA,Artificial Intelligence & Machine Learning in Governance,DoPT IST / Other,IIM Mumbai,In-Service ISS Officers,,2026-11-16,2026-11-20,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Artificial Intelligence & Machine Learning in Governance. DoPT IST / Other,True
NSSTA-020,NSSTA,Ethics in Public Service,DoPT IST / Other,ICCG Panchagani,In-Service ISS Officers,,2027-02-22,2027-02-26,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Ethics in Public Service. DoPT IST / Other,True
NSSTA-021,NSSTA,Role-based training programme,DoPT IST / Other,TBD,In-Service ISS Officers,,TBD,TBD,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Role-based training programme. DoPT IST / Other,True
NSSTA-022,NSSTA,TBD Officials of MoSPI training,DoPT IST / Other,TBD,CSS/CSSS/CSCS Officials,,TBD,TBD,open,0,,DoPT IST / Other,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,TBD Officials of MoSPI training. DoPT IST / Other,True
NSSTA-023,NSSTA,"Basic and Official Statistics, Survey Methodology, Behavioural/Functional Competencies",Module A of 3 weeks for newly recruited JSOs of SSS.,NSSTA,JSO,,2026-07-06,2026-07-24,open,0,,JSO/SSO Induction,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Basic and Official Statistics, Survey Methodology, Behavioural/Functional Competencies. Module A of 3 weeks for newly recruited JSOs of SSS.",True
NSSTA-024,NSSTA,"Basic and Official Statistics, Survey Methodology, Behavioural/Functional Competencies",Module A of 3 weeks for newly recruited JSOs of SSS.,NSSTA,JSO,,2026-09-28,2026-10-16,open,0,,JSO/SSO Induction,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Basic and Official Statistics, Survey Methodology, Behavioural/Functional Competencies. Module A of 3 weeks for newly recruited JSOs of SSS.",True
NSSTA-025,NSSTA,"Basic and Official Statistics, Survey Methodology, Behavioural/Functional Competencies",Module A of 3 weeks for newly recruited JSOs of SSS.,NSSTA,JSO,,2027-01-04,2027-01-22,open,0,,JSO/SSO Induction,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Basic and Official Statistics, Survey Methodology, Behavioural/Functional Competencies. Module A of 3 weeks for newly recruited JSOs of SSS.",True
NSSTA-026,NSSTA,Orientation for newly promoted SSOs,Module A of 3 weeks for newly recruited JSOs of SSS.,NSSTA,SSO,,2026-05-18,2026-05-22,open,0,,JSO/SSO Induction,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Orientation for newly promoted SSOs. Module A of 3 weeks for newly recruited JSOs of SSS.,True
NSSTA-027,NSSTA,Orientation for newly promoted SSOs,Module A of 3 weeks for newly recruited JSOs of SSS.,NSSTA,SSO,,2026-06-08,2026-06-12,open,0,,JSO/SSO Induction,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Orientation for newly promoted SSOs. Module A of 3 weeks for newly recruited JSOs of SSS.,True
NSSTA-028,NSSTA,Orientation for newly promoted SSOs,Module A of 3 weeks for newly recruited JSOs of SSS.,NSSTA,SSO,,2026-08-10,2026-08-14,open,0,,JSO/SSO Induction,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Orientation for newly promoted SSOs. Module A of 3 weeks for newly recruited JSOs of SSS.,True
NSSTA-029,NSSTA,Team Building and Leadership,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",NIM Uttarkashi,JSO,,2026-06-01,2026-06-05,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Team Building and Leadership. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-030,NSSTA,Team Building and Leadership,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",NIM Uttarkashi,SSO,,2026-06-15,2026-06-19,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Team Building and Leadership. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-031,NSSTA,GFR - procurement of Goods and Services,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",ASCI Hyderabad,JSO,,2026-07-06,2026-07-10,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"GFR - procurement of Goods and Services. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-032,NSSTA,Ethics and Integrity in Public Services,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",ICCG Manesar,SSO & JSO,,2026-07-20,2026-07-24,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Ethics and Integrity in Public Services. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-033,NSSTA,GFR - procurement of Goods and Services,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",ASCI Hyderabad,SSO,,2026-07-20,2026-07-24,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"GFR - procurement of Goods and Services. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-034,NSSTA,Pay Fixation,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",NSSTA,SSO,,2026-08-03,2026-08-07,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Pay Fixation. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-035,NSSTA,"Soft Skills, Personality Development, Professional Excellence","For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",RIPAES Odisha,SSO,,2026-08-17,2026-08-21,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Soft Skills, Personality Development, Professional Excellence. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-036,NSSTA,Pay Fixation,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",NSSTA,JSO,,2026-09-07,2026-09-11,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Pay Fixation. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-037,NSSTA,Handling Large Scale Data & Data Analytics using R,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",IASRI Delhi,SSO,,2026-09-21,2026-09-25,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Handling Large Scale Data & Data Analytics using R. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-038,NSSTA,Stress Management Through Blissful Living,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",Isha Yoga Bangalore,JSO,,2026-09-21,2026-09-25,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Stress Management Through Blissful Living. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-039,NSSTA,Application of remote sensing and disaster management,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",IIRS Dehradun,SSO,,2026-10-12,2026-10-16,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Application of remote sensing and disaster management. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-040,NSSTA,Stress Management Through Blissful Living,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",IIYM Murthal Haryana,SSO,,2026-10-12,2026-10-16,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Stress Management Through Blissful Living. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-041,NSSTA,"Soft Skills, Personality Development, Professional Excellence","For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",RIPAES Odisha,JSO,,2026-10-26,2026-10-30,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Soft Skills, Personality Development, Professional Excellence. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-042,NSSTA,"Soft Skills, Personality Development, Professional Excellence","For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",SASA Kerala,JSO,,2026-11-16,2026-11-20,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Soft Skills, Personality Development, Professional Excellence. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-043,NSSTA,Communication and Presentation Skills,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",HIPA Shimla,SSO & JSO,,2026-12-07,2026-12-11,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Communication and Presentation Skills. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-044,NSSTA,"Soft Skills, Personality Development, Professional Excellence","For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",SASA Kerala,SSO,,2026-12-14,2026-12-18,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Soft Skills, Personality Development, Professional Excellence. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-045,NSSTA,Application of remote sensing and disaster management,"For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",IIRS Dehradun,JSO,,2027-01-11,2027-01-15,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Application of remote sensing and disaster management. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-046,NSSTA,"Specialized Training in SDG, Data Analytics","For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",TNSSTI Tamil Nadu,SSO & JSO,,2027-02-01,2027-02-05,open,0,,SSS Refresher,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Specialized Training in SDG, Data Analytics. For in-service SSS officers; covers domain-specific, behavioural and functional competencies.",True
NSSTA-047,NSSTA,University awareness session,Awareness Programmes,University,University Students,,TBD,TBD,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,University awareness session. Awareness Programmes,True
NSSTA-048,NSSTA,Official Statistics,Awareness Programmes,NSSTA,HoD/Faculty of University/Colleges,,2026-07-20,2026-07-24,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Official Statistics. Awareness Programmes,True
NSSTA-049,NSSTA,Official Statistics,Awareness Programmes,NSSTA,HoD/Faculty of University/Colleges,,2026-07-27,2026-07-31,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Official Statistics. Awareness Programmes,True
NSSTA-050,NSSTA,Official Statistics,Awareness Programmes,NSSTA,DES Officers,,2026-06-15,2026-06-19,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Official Statistics. Awareness Programmes,True
NSSTA-051,NSSTA,Official Statistics,Awareness Programmes,NSSTA,DES Officers,,2026-09-21,2026-09-25,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Official Statistics. Awareness Programmes,True
NSSTA-052,NSSTA,Official Statistics,Awareness Programmes,NSSTA,PG/UG students,,2026-12-21,2026-12-25,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Official Statistics. Awareness Programmes,True
NSSTA-053,NSSTA,Official Statistics,Awareness Programmes,NSSTA,PG/UG students,,2026-12-28,2027-01-01,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Official Statistics. Awareness Programmes,True
NSSTA-054,NSSTA,Official Statistics,Awareness Programmes,NSSTA,DES Officers,,2027-02-08,2027-02-12,open,0,,Awareness Programmes,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Official Statistics. Awareness Programmes,True
NSSTA-055,NSSTA,Batch-I for ASOs of DES-U.P,"Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",NSSTA,ASO (DES-UP),,2026-05-25,2026-06-12,open,0,,Demand-Based (DBTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Batch-I for ASOs of DES-U.P. Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",True
NSSTA-056,NSSTA,Batch-I Statistical Assistants of DES-Ladakh,"Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",NSSTA,Statistical Assistant,,2026-07-27,2026-08-21,open,0,,Demand-Based (DBTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Batch-I Statistical Assistants of DES-Ladakh. Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",True
NSSTA-057,NSSTA,Batch-II Statistical Assistants of DES-Ladakh,"Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",NSSTA,Statistical Assistant,,2026-11-09,2026-12-04,open,0,,Demand-Based (DBTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Batch-II Statistical Assistants of DES-Ladakh. Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",True
NSSTA-058,NSSTA,Batch-II for ASOs of DES-U.P,"Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",NSSTA,ASO (DES-UP),,2027-01-04,2027-04-22,open,0,,Demand-Based (DBTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Batch-II for ASOs of DES-U.P. Training for State/UT governments, line ministries, departments and organisations on Official Statistics subjects.",True
NSSTA-059,NSSTA,"DFPR, GFR, Public Procurement, Office Mgmt, Official Statistics, Data Mgmt & Analysis",4-week training for SSS officers newly promoted to ISS.,AJNIFM/ISTM/NSSTA,JTS officers (VY 2025),,2026-11-16,2026-12-11,open,0,,JTS Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"DFPR, GFR, Public Procurement, Office Mgmt, Official Statistics, Data Mgmt & Analysis. 4-week training for SSS officers newly promoted to ISS.",True
NSSTA-060,NSSTA,Evidence-Based Policymaking Using Statistics and Data,Training programmes organised for countries/international organisations when requested.,NSSTA,National Participants (ISS/SSS/State Govt),,2026-04-20,2026-04-24,open,0,,International Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Evidence-Based Policymaking Using Statistics and Data. Training programmes organised for countries/international organisations when requested.,True
NSSTA-061,NSSTA,AI Training Programme,Training programmes organised for countries/international organisations when requested.,NSSTA,National Participants,,2026-05-13,2026-05-15,open,0,,International Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,AI Training Programme. Training programmes organised for countries/international organisations when requested.,True
NSSTA-062,NSSTA,AI Training Programme,Training programmes organised for countries/international organisations when requested.,NSSTA,National Participants,,2026-05-18,2026-05-20,open,0,,International Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,AI Training Programme. Training programmes organised for countries/international organisations when requested.,True
NSSTA-063,NSSTA,Using Administrative Data,Training programmes organised for countries/international organisations when requested.,NSSTA,TBD,,2026-10-12,2026-10-23,open,0,,International Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Using Administrative Data. Training programmes organised for countries/international organisations when requested.,True
NSSTA-064,NSSTA,Disaster-related Statistics,Training programmes organised for countries/international organisations when requested.,NSSTA,TBD,,2026-11-09,2026-11-13,open,0,,International Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Disaster-related Statistics. Training programmes organised for countries/international organisations when requested.,True
NSSTA-065,NSSTA,ISEC Training,Training programmes organised for countries/international organisations when requested.,NSSTA,TBD,,2026-02-08,2026-02-12,open,0,,International Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,ISEC Training. Training programmes organised for countries/international organisations when requested.,True
NSSTA-066,NSSTA,ITEC Training,Training programmes organised for countries/international organisations when requested.,NSSTA,TBD,,2026-03-15,2026-03-26,open,0,,International Training,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,ITEC Training. Training programmes organised for countries/international organisations when requested.,True
NSSTA-067,NSSTA,Diagnosing Structural change in digital interventions,Seminar/Workshop,NSSTA,ISS and IES officers,,2026-04-23,2026-04-23,open,0,,Seminar/Workshop,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Diagnosing Structural change in digital interventions. Seminar/Workshop,True
NSSTA-068,NSSTA,Data Governance: Administrative Data for Decision-Making,Seminar/Workshop,NSSTA,ISS Officers,,2026-06-24,2026-06-24,open,0,,Seminar/Workshop,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Data Governance: Administrative Data for Decision-Making. Seminar/Workshop,True
NSSTA-069,NSSTA,Research Methodologies: Impact Evaluations,Seminar/Workshop,NSSTA,ISS Officers,,2026-09-24,2026-09-24,open,0,,Seminar/Workshop,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Research Methodologies: Impact Evaluations. Seminar/Workshop,True
NSSTA-070,NSSTA,Fundamentals of Official Statistics/Office,"Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",NSSTA,ISS 2026 batch,,2026-04-06,2026-04-10,open,0,,ISS Probationary,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Fundamentals of Official Statistics/Office. Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",True
NSSTA-071,NSSTA,Interaction with eminent personalities and Secretary MoSPI,"Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",NSSTA,ISS 2026 batch,,2026-04-13,2026-04-17,open,0,,ISS Probationary,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Interaction with eminent personalities and Secretary MoSPI. Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",True
NSSTA-072,NSSTA,National Accounts Statistics,"Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",NSSTA,ISS 2026 batch,,2026-04-20,2026-04-24,open,0,,ISS Probationary,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"National Accounts Statistics. Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",True
NSSTA-073,NSSTA,Price Statistics and Social Statistics,"Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",NSSTA,ISS 2026 batch,,2026-04-27,2026-05-01,open,0,,ISS Probationary,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Price Statistics and Social Statistics. Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",True
NSSTA-074,NSSTA,"Administrative Statistics, DPDP Act, Basic Economics, Education Statistics, IIP","Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",NSSTA,ISS 2026 batch,,2026-05-04,2026-05-08,open,0,,ISS Probationary,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Administrative Statistics, DPDP Act, Basic Economics, Education Statistics, IIP. Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",True
NSSTA-075,NSSTA,Managing Budgets & Monitoring Plans,"Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",AJNIFM/IICA,ISS 2026 batch,,2026-05-11,2026-05-15,open,0,,ISS Probationary,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Managing Budgets & Monitoring Plans. Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",True
NSSTA-076,NSSTA,"Big Data, AI with Python, ML, Data Harmonization, AI-ready data, alt data sources (scanner/mobile/GIS/nightlight/web-scraped)","Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",IITs,ISS 2026 batch,,2026-05-18,2026-06-01,open,0,,ISS Probationary,NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Big Data, AI with Python, ML, Data Harmonization, AI-ready data, alt data sources (scanner/mobile/GIS/nightlight/web-scraped). Training for ISS probationers; module includes official statistics, survey methodologies, management, communication, general administration and IT.",True
